,정류소명,Y좌표,X좌표
8387,가산동기점,37.4852270318,126.8752549755
8388,가산동종점,37.4851695661,126.8749706613
8389,가산디지털단지역1번출구,37.4817380105,126.8834000543
8390,범일운수종점,37.450409,126.91173
8391,삼익아파트앞,37.462545,126.909455
8392,삼익아파트,37.462425,126.909395
8393,디지털3단지.영창실업,37.4833271564,126.8789631022
8394,디지털3단지.가산비즈니스센터,37.4796263717,126.879898513
8395,디지털3단지운동장,37.482356638,126.8780589385
8396,남문시장입구,37.4712411911,126.9008468962
8397,가산디지털단지역,37.4814393846,126.8831991462
8398,스타밸리앞,37.481231921,126.8849702923
8399,독산동남문시장,37.4735130055,126.903170701
8400,독산동남문시장,37.4733474011,126.9034139964
8401,경성산업사,37.4705744545,126.8886447169
8402,BYC하이시티,37.4767613083,126.8830440826
8403,금빛공원앞,37.4531074327,126.9042968029
8404,금빛공원앞,37.4532796733,126.9044559572
8405,경동택배,37.4502786838,126.9040103136
8406,삼화약국,37.4500039965,126.9034550963
8407,대우당약국,37.4507504041,126.9065092253
8408,화인전자산업,37.4508696683,126.9061589552
8409,은행나무로입구,37.4509918205,126.9079435086
8410,시흥대교,37.4532803888,126.8972682538
8411,가산디지털단지역1호선,37.4817929109,126.881068753
8412,안양천로입구,37.4526071375,126.8931224919
8413,가산한화비즈메트로2차,37.4725342446,126.8821620179
8414,RSM타워.르노코리아서부사업소,37.4711873908,126.8832768601
8415,시흥1동공영주차장.금천노인종합복지관,37.4513152098,126.8968968764
8416,독산한신코아.한신아파트,37.4565792288,126.8877099959
8417,가산디지털단지역,37.4810694697,126.8830204069
8418,벽산3단지,37.4534372224,126.9174170555
8419,성지아파트,37.4511851351,126.8986162093
8420,롯데캐슬1차서문.해가든아파트,37.4599862007,126.8925553205
8421,무지개아파트,37.4568567561,126.8986616803
8422,마리오아울렛,37.4787005541,126.884025894
8423,벽산3단지앞,37.452771686,126.9166796994
8424,독산역,37.4670001721,126.889226261
8425,문성중학교,37.4756246737,126.905866831
8426,홈플러스.문일중고입구,37.4509197575,126.9002034735
8427,금천현대아파트,37.4617003128,126.8916622592
8428,독산주공1319동,37.4584615691,126.8876303149
8429,시흥사거리,37.4527569013,126.9010148506
8430,아톰주식회사,37.4710213473,126.8827296894
8431,호남슈퍼,37.4522943939,126.9158257252
8432,남문교회,37.4736656942,126.905898684
8433,문일고입구,37.4511228214,126.9016533505
8434,제일모직아울렛,37.4742185379,126.8859639286
8435,탑동초등학교.청담종합사회복지관,37.4520537227,126.9144662534
8436,태영빌라,37.4718196531,126.9063091413
8437,무지개아파트,37.4569918767,126.8986083708
8438,두산초등학교,37.4663807037,126.8917029868
8439,독산주공14단지,37.4594147633,126.8860359356
8440,온누리아파트,37.4734920619,126.8867089769
8441,어울샘.동산중앙교회,37.4520508795,126.9118509343
8442,구민문화체육센터,37.4701790336,126.906683145
8443,독산현대아파트.금천50플러스센터,37.4671220994,126.8944524695
8444,시흥유통상가.금천고,37.443198078,126.9033793052
8445,에이스하이엔드타워클래식,37.4733544802,126.8890957201
8446,새마을금고,37.4514589303,126.910397177
8447,해찬아파트,37.4682464727,126.9070812349
8448,진도3차아파트,37.4684083858,126.8939000889
8449,박미마을,37.440931611,126.9031686259
8450,가산테라타워,37.4740268181,126.8900376518
8451,시흥동은행나무,37.4514540858,126.9079384209
8452,시흥사거리.대명시장,37.4546629479,126.9012542295
8453,구립독산도서관,37.4671936204,126.9077732858
8454,유창슈퍼,37.4685449644,126.8924720236
8455,독산역,37.466482532,126.8878421511
8456,기아대교,37.4389877386,126.9029552825
8457,구립가산도서관.두산위브아파트,37.4735235187,126.8924060994
8458,은행나무입구사거리,37.4526253772,126.9054638874
8459,시흥초등학교.시흥1동주민센터,37.4535492973,126.9035830113
8460,산기슭공원,37.4639767337,126.9067112027
8461,독산역,37.4660500537,126.8898143938
8462,진도2차아파트,37.4701338936,126.8917891479
8463,교학사,37.4693464268,126.8861420439
8464,시흥초등학교.금빛공원,37.4533678073,126.9042399555
8465,삼익APT.금강APT,37.4627270693,126.9069298024
8466,두산로입구,37.4718560099,126.8872683557
8467,빅마켓.청광아파트,37.470518615,126.8937184762
8468,대륭테크노2차,37.4688662671,126.8844198216
8469,두산위브아파트정문,37.474880117,126.8938818954
8470,남부여성발전센터,37.4626914362,126.9051799065
8471,에스에스패션,37.4745773118,126.8861024511
8472,길상마트,37.4720209133,126.8938893297
8473,대륭테크노타운,37.4694900501,126.8837224396
8474,가산동주민센터.금천글로벌센터,37.4760757114,126.8936891244
8475,대륭테크노타운19차,37.4743724585,126.8817312077
8476,에이스태세라타워,37.472455257,126.8824730566
8477,고원약국,37.4766586812,126.8948335839
8478,꿈나래어린이집,37.4548280098,126.8972130692
8479,우방아파트.범일운수종점,37.4499835637,126.9130995551
8480,마리오아울렛,37.478491819,126.884354116
8481,가산초교,37.4769155252,126.8960806134
8482,가산디지털단지역,37.4806531774,126.8839527713
8483,STXV타워,37.476776835,126.883254362
8484,독산고개입구,37.4760612532,126.8975840658
8485,벽산아파트5단지,37.4502111371,126.9211421064
8486,빅마켓,37.4700299236,126.8954116204
8487,한신IT타워,37.4799300143,126.8862424501
8488,가산동주민센터,37.4768410059,126.8910414323
8489,SG세계물산,37.4763040335,126.8894662101
8490,가산로데오거리,37.4783283186,126.8879614908
8491,호압사입구,37.4517227734,126.9205758327
8492,이앤씨드림타워7차,37.479882149,126.8867786367
8493,LG전자.W몰,37.4769117974,126.8886451685
8494,가산디지털단지역1호선앞,37.4809146873,126.8814206702
8495,금천육교앞,37.4554158552,126.8915243807
8496,벽산1단지입구,37.4501429977,126.9198492816
8497,시흥모터스,37.4704852059,126.8897106548
8498,삼성인쇄.TSC,37.4755142044,126.8886687245
8499,문성초등학교,37.473974397,126.8981181055
8500,섭리의집,37.4463421176,126.908761999
8501,섭리의집,37.4462280579,126.9087889887
8502,가산디지털단지역,37.4802047061,126.88331005
8503,가산디지털단지역,37.4816053618,126.8834351709
8504,가산디지털단지역,37.4810451325,126.884113821
8505,LG전자가산A,37.4753715856,126.8887867417
8506,벽산디지털밸리,37.476880524,126.8855139081
8507,KCC웰츠밸리,37.4835533313,126.8798436042
8508,독산고개입구,37.4771618769,126.8984628392
8509,벽산6단지입구,37.4499598725,126.9181165746
8510,독산역,37.4663102404,126.8876524834
8511,독산역,37.4663474176,126.8878966173
8512,남부여성발전센터앞,37.46264,126.905319
8513,남부여성발전센터앞,37.4626887764,126.9052341715
8514,산업단지백양사,37.4770089899,126.8829204538
8515,가산동주민센터.금천글로벌센터,37.4764099284,126.8925896507
8516,제일모직아울렛,37.4744461736,126.8865424649
8517,에이스하이엔드10차,37.4684956743,126.886968628
8518,대륭테크노타운17차,37.468514365,126.8866426914
8519,금천패션아울렛사거리.마리오,37.4778165267,126.8874417824
8520,범일운수종점,37.450285,126.911602
8521,마이크로오피스(태평세라믹스),37.4724075288,126.8825036575
8522,마이크로오피스(태평세라믹스),37.4723513958,126.882238055
8523,한울중학교,37.4626132704,126.90774839
8524,한울중학교,37.462522,126.907302
8525,STXV타워,37.4770470579,126.8831442668
8526,가산초교,37.4772390713,126.8958767655
8527,동일여고.금천사이언스큐브,37.4500269983,126.9167740089
8528,두산로입구,37.4716793241,126.88706719
8529,석수역,37.434857,126.902775
8530,석수역,37.4337174251,126.9033101325
8531,가산디지털단지역,37.480783,126.884208
